#2MASS J00182256+4401222
  2|PM I16303-1239  |Gl 628    |247.57527|-12.66243| 1.89700|3272| 0.3250| 0.2940|-0.03|M3.6  |11.653|10.097| 8.893| 7.332|10.912| 9.494| 8.102| 7.337| 5.952| 5.386| 5.080| 9.118|10.522| 7.609| 1.89700|3411| 0.2990| 0.3030| 9.43|10.202|Gl 628
#2MASS J16552527-0819207
  2|PM I16554-0819  |Gl 643    |253.85522|-08.32245| 0.40050|3279| 0.2330| 0.2040|-0.26|M3.2  |13.446|11.772|10.547| 9.056|12.709|11.093| 9.816| 9.067| 7.623| 7.051| 6.796|10.819|12.193| 9.324| 0.40050|3339| 0.2230| 0.2090| 9.41| 1.904|Gl 643
#2MASS J16552880-0820103
  2|PM I16554-0819  |Gl 643    |253.85522|-08.32245| 0.40050|3279| 0.2330| 0.2040|-0.26|M3.2  |13.446|11.772|10.547| 9.056|12.709|11.093| 9.816| 9.067| 7.623| 7.051| 6.796|10.819|12.193| 9.324| 0.40050|3339| 0.2230| 0.2090| 9.41| 1.904|Gl 643
#2MASS J16553529-0823401
  1|PM I16555-0823  |Gl 644 C  |253.89705|-08.39448| 0.04725|2700| 0.1131| 0.0841|-0.07|M7.0  |18.663|16.758|14.577|12.127|17.662|16.019|13.212|11.690| 9.777| 9.197| 8.832|14.204|17.215|12.341|        |    |       |       |     |      |Gl 644 C
#2MASS J16570570-0420559
  2|PM I16570-0420  |GJ 1207   |254.27377|-04.34888| 0.28610|3229| 0.2620| 0.2280|-0.09|M4.1  |13.885|12.277|11.052| 9.444|13.146|11.663|10.233| 9.428| 7.981| 7.411| 7.125|11.255|12.713| 9.722| 0.28610|3346| 0.2440| 0.2330| 9.36| 6.673|GJ 1207
#2MASS J16580884+2544392
  3|PM I16581+2544  |Gl 649    |254.53690|+25.74423| 1.29800|3700| 0.5070| 0.5340| 0.03|M1.3  |11.149| 9.667| 8.696| 7.602|10.476| 9.078| 8.236| 7.767| 6.495| 5.875| 5.634| 9.105|10.075| 7.831| 1.29800|3741| 0.4950| 0.5270| 9.42| 1.004|Gl 649
#2MASS J17093153+4340531
  3|PM I17095+4340  |GJ 3991   |257.38138|+43.68139| 0.49510|3284| 0.2860| 0.2660| 0.20|M3.9  |13.340|11.855|10.590| 8.927|12.638|11.250| 9.737| 8.876| 7.397| 6.759| 6.477|10.759|12.265| 9.204| 0.49510|3309| 0.2810| 0.2740| 9.40| 0.418|GJ 3991
#2MASS J17254521+0206406
  1|LSPM J1725+0206 |Gl 673    |261.43847|+02.11142| 5.92700|4124| 0.6490| 0.7060| 0.19|K7.4  | 8.906| 7.510| 6.680| 5.913| 8.306| 6.956| 6.456| 6.158| 4.961| 4.315| 4.183| 7.167| 7.907| 6.082| 5.92700|4170| 0.6360| 0.6780| 9.46| 1.139|LSPM J1725+0206  Gl 673
#2MASS J17302272+0532547
  3|PM I17303+0532  |Gl 678.1A |262.59470|+05.54855| 1.55700|3675| 0.5430| 0.5490|-0.09|M0.5  |10.784| 9.334| 8.373| 7.383|10.138| 8.722| 7.990| 7.580| 6.307| 5.704| 5.486| 8.819| 9.724| 7.595| 1.55700|3811| 0.5040| 0.5340| 9.46| 9.740|Gl 678.1A
#2MASS J17362594+6820220
  3|PM I17364+6820  |Gl 687    |264.10803|+68.33932| 3.36300|3439| 0.4140| 0.4050| 0.05|M3.2  |10.678| 9.182| 8.098| 6.682| 9.986| 8.617| 7.411| 6.725| 5.348| 4.782| 4.504| 8.379| 9.607| 6.945| 3.36300|3522| 0.3940| 0.4180| 9.47| 3.923|Gl 687
#2MASS J17375330+1835295
  3|PM I17378+1835  |Gl 686    |264.47214|+18.59157| 1.41800|3657| 0.4240| 0.4420|-0.25|M1.2  |11.149| 9.603| 8.595| 7.498|10.464| 8.978| 8.136| 7.653| 6.382| 5.816| 5.560| 9.013|10.012| 7.723| 1.41800|3678| 0.4180| 0.4450| 9.41| 0.322|Gl 686
#2MASS J17435595+4322441
  3|PM I17439+4322  |Gl 694    |265.98318|+43.37870| 0.89270|3464| 0.4400| 0.4300| 0.00|M2.6  |12.012|10.511| 9.424| 8.100|11.319| 9.900| 8.799| 8.189| 6.845| 6.211| 5.972| 9.752|10.919| 8.357| 0.89300|3572| 0.4120| 0.4400| 9.46| 5.965|Gl 694
#2MASS J17574849+0441405
  1|PM I17578+0441N |Gl 699    |269.45218|+04.69195| 3.26300|3228| 0.1863| 0.1550|-0.40|M4.2  |11.230| 9.527| 8.315| 6.730|10.428| 8.913| 7.508| 6.734| 5.296| 4.801| 4.533| 8.537| 9.978| 7.014| 3.26300|3269| 0.1810| 0.1620| 9.39| 1.016|Gl 699
#2MASS J18050755-0301523
  2|PM I18051-0301  |Gl 701    |271.28149|-03.03127| 1.72000|3614| 0.4590| 0.4710|-0.22|M1.3  |10.877| 9.389| 8.399| 7.308|10.207| 8.779| 7.942| 7.464| 6.180| 5.588| 5.322| 8.812| 9.789| 7.533| 1.72000|3701| 0.4370| 0.4640| 9.51| 3.914|Gl 701
#2MASS J18410977+2447143
  3|PM I18411+2447S |GJ 1230A  |280.29071|+24.78732| 0.43100|3232| 0.3720| 0.3410| 0.24|M4.3  |14.032|12.205|10.856| 9.116|13.173|11.569| 9.946| 9.050| 7.511| 6.898| 6.611|11.002|12.675| 9.401| 0.43100|3365| 0.3410| 0.3480| 9.55| 8.298|GJ 1230A
#2MASS J18410981+2447195
  3|PM I18411+2447S |GJ 1230A  |280.29071|+24.78732| 0.43100|3232| 0.3720| 0.3410| 0.24|M4.3  |14.032|12.205|10.856| 9.116|13.173|11.569| 9.946| 9.050| 7.511| 6.898| 6.611|11.002|12.675| 9.401| 0.43100|3365| 0.3410| 0.3480| 9.55| 8.298|GJ 1230A
#2MASS J18424666+5937499
  3|PM I18427+5937N |Gl 725A   |280.69489|+59.63015| 3.89800|3441| 0.3510| 0.3340|-0.23|M3.0  |10.430| 8.897| 7.835| 6.471| 9.734| 8.324| 7.184| 6.548| 5.198| 4.642| 4.406| 8.143| 9.328| 6.734| 3.89800|3517| 0.3340| 0.3490| 9.47| 3.302|Gl 725A
#2MASS J18424688+5937374
  3|PM I18427+5937S |Gl 725B   |280.69580|+59.62659| 2.24500|3345| 0.2730| 0.2480|-0.30|M3.5  |11.276| 9.733| 8.604| 7.130|10.559| 9.147| 7.874| 7.166| 5.748| 5.211| 4.958| 8.865|10.161| 7.400| 2.24500|3421| 0.2590| 0.2550| 9.41| 3.305|Gl 725B
#2MASS J18494929-2350101
  2|PM I18498-2350  |Gl 729    |282.45557|-23.83620| 1.45100|3240| 0.2008| 0.1700|-0.18|M4.1  |12.191|10.528| 9.229| 7.619|11.411| 9.842| 8.404| 7.623| 6.225| 5.661| 5.394| 9.446|10.943| 7.907| 1.45100|3252| 0.1990| 0.1810| 9.44| 0.160|Gl 729
#2MASS J19070556+2053168
  3|PM I19070+2053  |Gl 745A   |286.77325|+20.88810| 0.57150|3500| 0.3100| 0.2960|-0.33|M2.1  |12.336|10.780| 9.725| 8.499|11.634|10.152| 9.175| 8.611| 7.321| 6.781| 6.552|10.096|11.191| 8.742| 0.57200|3516| 0.3050| 0.3160| 9.50| 0.259|Gl 745A
#2MASS J19071320+2052372
  3|PM I19072+2052  |Gl 745B   |286.80508|+20.87706| 0.58400|3494| 0.3230| 0.3030|-0.35|M2.1  |12.373|10.736| 9.650| 8.433|11.645|10.078| 9.102| 8.560| 7.291| 6.770| 6.564|10.035|11.150| 8.677| 0.58400|3532| 0.3140| 0.3270| 9.54| 0.959|Gl 745B
#2MASS J19165526+0510086
  3|PM I19169+0510  |Gl 752A   |289.23032|+05.16909| 3.01700|3558| 0.4740| 0.4750| 0.10|M2.6  |10.621| 9.141| 8.077| 6.744| 9.940| 8.553| 7.454| 6.813| 5.543| 4.917| 4.696| 8.394| 9.551| 6.999| 3.01700|3619| 0.4570| 0.4880| 9.45| 2.200|Gl 752A
#2MASS J19165762+0509021
  3|PM I19169+0510  |Gl 752A   |289.23032|+05.16909| 3.01700|3558| 0.4740| 0.4750| 0.10|M2.6  |10.621| 9.141| 8.077| 6.744| 9.940| 8.553| 7.454| 6.813| 5.543| 4.917| 4.696| 8.394| 9.551| 6.999| 3.01700|3619| 0.4570| 0.4880| 9.45| 2.200|Gl 752A
#2MASS J19535443+4424541
  3|PM I19539+4424E |GJ 1245B  |298.47977|+44.41508| 0.19860|2859| 0.1430| 0.1030|-0.05|M5.9  |15.817|13.957|12.273|10.178|14.896|13.275|11.121| 9.937| 8.260| 7.721| 7.405|12.189|14.420|10.444| 0.19860|2919| 0.1360| 0.1100| 9.49| 1.985|GJ 1245B
#2MASS J19535508+4424550
  3|PM I19539+4424E |GJ 1245B  |298.47977|+44.41508| 0.19860|2859| 0.1430| 0.1030|-0.05|M5.9  |15.817|13.957|12.273|10.178|14.896|13.275|11.121| 9.937| 8.260| 7.721| 7.405|12.189|14.420|10.444| 0.19860|2919| 0.1360| 0.1100| 9.49| 1.985|GJ 1245B
#2MASS J20260528+5834224
  2|PM I20260+5834  |GJ 1253   |306.52203|+58.57293| 0.10250|3045| 0.1831| 0.1500| 0.14|M4.7  |15.838|14.167|12.750|10.913|15.015|13.539|11.773|10.774| 9.061| 8.365| 8.074|12.827|14.612|11.184| 0.10250|3084| 0.1770| 0.1520| 9.41| 0.787|GJ 1253
#2MASS J20450403+4429562
  3|PM I20450+4429  |Gl 806    |311.26700|+44.49903| 0.58540|3542| 0.4430| 0.4320|-0.15|M2.0  |12.280|10.721| 9.676| 8.474|11.593|10.097| 9.136| 8.604| 7.317| 6.729| 6.531|10.057|11.137| 8.716| 0.58500|3640| 0.4160| 0.4440| 9.47| 4.747|Gl 806
#2MASS J20531977+6209156
  3|PM I20533+6209  |Gl 809    |313.33246|+62.15450| 3.34800|3791| 0.5290| 0.5810|-0.06|M1.0  |10.064| 8.566| 7.636| 6.625| 9.403| 7.989| 7.236| 6.794| 5.486| 4.829| 4.577| 8.069| 8.984| 6.834| 3.34800|3846| 0.5150| 0.5460| 9.39| 1.665|Gl 809
#2MASS J21065341+3844529
  1|LSPM J2106+3844S|Gl 820B   |316.73013|+38.74202|22.25000|4021| 0.6020| 0.6410|-0.22|K7.3  | 7.445| 6.066| 5.219| 4.434| 6.840| 5.508| 4.981| 4.689| 3.533| 2.939| 2.777| 5.705| 6.458| 4.608|22.25000|4126| 0.5740| 0.6000| 9.43| 3.810|LSPM J2106+3844S Gl 820B
#2MASS J21065473+3844265
  1|LSPM J2106+3844S|Gl 820B   |316.73013|+38.74202|22.25000|4021| 0.6020| 0.6410|-0.22|K7.3  | 7.445| 6.066| 5.219| 4.434| 6.840| 5.508| 4.981| 4.689| 3.533| 2.939| 2.777| 5.705| 6.458| 4.608|22.25000|4126| 0.5740| 0.6000| 9.43| 3.810|LSPM J2106+3844S Gl 820B
#2MASS J22021026+0124006
  3|PM I22021+0124  |Gl 846    |330.54288|+01.40027| 1.79100|3848| 0.5460| 0.5900| 0.02|M0.6  |10.623| 9.179| 8.226| 7.238| 9.982| 8.576| 7.841| 7.437| 6.207| 5.530| 5.347| 8.671| 9.573| 7.449| 1.79100|3875| 0.5380| 0.5710| 9.43| 0.444|Gl 846
#2MASS J22094029-0438267
  2|PM I22096-0438  |Gl 849    |332.41797|-04.64073| 1.19200|3530| 0.4700| 0.4820| 0.37|M3.1  |11.892|10.409| 9.286| 7.848|11.198| 9.826| 8.578| 7.892| 6.498| 5.859| 5.612| 9.561|10.823| 8.113| 1.19200|3537| 0.4670| 0.4950| 9.40| 0.050|Gl 849
#2MASS J22531672-1415489
  2|PM I22532-1415  |Gl 876    |343.31958|-14.26361| 1.91600|3247| 0.3630| 0.3280| 0.17|M3.7  |11.748|10.183| 8.982| 7.408|11.016| 9.588| 8.187| 7.403| 5.948| 5.308| 5.038| 9.202|10.614| 7.687| 1.91600|3384| 0.3330| 0.3410| 9.51|10.077|Gl 876
#2MASS J22563497+1633130
  3|PM I22565+1633  |Gl 880    |344.14517|+16.55347| 3.54500|3720| 0.5490| 0.5740| 0.21|M1.5  |10.150| 8.666| 7.672| 6.546| 9.482| 8.067| 7.190| 6.707| 5.390| 4.722| 4.543| 8.074| 9.072| 6.782| 3.54500|3760| 0.5370| 0.5700| 9.46| 0.893|Gl 880
#2MASS J23315208+1956142
  3|PM I23318+1956W |Gl 896A   |352.96732|+19.93727| 1.59200|3353| 0.4090| 0.3790| 0.03|M3.8  |11.767|10.195| 8.998| 7.452|11.075| 9.575| 8.222| 7.479| 6.170| 5.592| 5.326| 9.237|10.622| 7.736| 1.59200|3491| 0.3740| 0.3940| 9.53|10.345|Gl 896A
#2MASS J23315244+1956138
  2|PM I23318+1956E |Gl 896B   |352.96890|+19.93719| 0.61700|3072| 0.3030| 0.2400| 0.03|M4.9  |13.892|12.096|10.587| 8.714|13.092|11.376| 9.592| 8.569| 7.071| 6.568| 6.284|10.654|12.531| 8.990| 0.61700|3309| 0.2590| 0.2480| 9.40|28.053|Gl 896B
#2MASS J23415498+4410407
