2MASS J19165526+0510086|0.0011|289.23025|+05.16892|Gl 752 AB   | 5.9| 9.12| 4.673|2009-07-19| 416| 5.626| 0.074| 4.018| 0.068| 1.003| 0.003|1|3789| 20|-0.03| 0.12|-0.05| 0.17|Gl 752                 |289.23025|+05.16892
2MASS J19165762+0509021|1.2462|289.23025|+05.16892|Gl 752 AB   | 5.9| 9.12| 4.673|2009-07-19| 416| 5.626| 0.074| 4.018| 0.068| 1.003| 0.003|1|3789| 20|-0.03| 0.12|-0.05| 0.17|Gl 752                 |289.23025|+05.16892
2MASS J19535443+4424541|0.0000|298.47680|+44.41504|GJ 1245 AC  | 4.5|13.41| 6.854|2009-07-19| 539| 5.595| 0.092| 1.675| 0.108| 0.795| 0.002|6|2890| 19|-0.09| 0.12|-0.14| 0.17|GJ 1245                |298.47680|+44.41504
2MASS J19535508+4424550|0.0000|298.47954|+44.41529|GJ 1245 B   | 4.7|13.99| 7.387|2009-07-19| 440| 5.695| 0.068| 1.615| 0.065| 0.792| 0.003|6|2881| 20|-0.09| 0.12|-0.13| 0.17|GJ 1245 B              |298.47954|+44.41529
2MASS J20260528+5834224|0.0000|306.52204|+58.57291|LHS 3549    | 9.3|14.04| 8.095|2009-07-20| 442| 7.097| 0.087| 2.958| 0.059| 0.836| 0.002|5|3012| 45| 0.12| 0.12| 0.16| 0.17|LHS 3549               |306.52204|+58.57291
2MASS J20303207+6526586|0.0000|307.63352|+65.44956|LHS 3558    | 8.0|10.54| 5.933|2009-07-20| 628| 4.927| 0.048| 4.312| 0.042| 0.925| 0.002|3|3437| 16| 0.01| 0.12| 0.01| 0.17|LHS 3558               |307.63352|+65.44956
2MASS J20403364+1529572|0.0000|310.14017|+15.49922|LHS 495     | 9.8|13.41| 7.749|2009-07-20| 258| 7.259| 0.115| 3.354| 0.104| 0.861| 0.003|4|3080| 74| 0.15| 0.12| 0.20| 0.17|LHS 495                |310.14017|+15.49922
2MASS J20450403+4429562|0.0000|311.26708|+44.49907|LHS 3577    |12.5|10.79| 6.533|2009-07-20| 311| 4.704| 0.095| 3.919| 0.085| 0.968| 0.003|2|3621| 19|-0.07| 0.12|-0.11| 0.17|LHS 3577               |311.26708|+44.49907
2MASS J20531977+6209156|0.0000|313.33246|+62.15439|Gl 809      | 7.0| 8.54| 4.618|2009-07-19| 680| 4.085| 0.043| 4.193| 0.041| 1.057| 0.002|0|    |   |-0.15| 0.12|-0.21| 0.17|Gl 809                 |313.33246|+62.15439
2MASS J21293671+1738353|0.0000|322.40338|+17.64329|Gl 829 AB   | 6.7|10.30| 5.453|2009-07-19| 208| 4.696| 0.123| 3.265| 0.129| 0.907| 0.004|3|3349| 22|-0.09| 0.12|-0.13| 0.17|Gl 829                 |322.40338|+17.64329
2MASS J22094029-0438267|0.0000|332.41810|-04.64073|Gl 849      | 8.8|10.41| 5.594|2009-07-20| 755| 7.198| 0.055| 5.382| 0.049| 0.963| 0.002|2|3601| 19| 0.23| 0.12| 0.31| 0.17|Gl 849                 |332.41810|-04.64073
2MASS J22230696-1736250|0.0000|335.77904|-17.60694|LHS 3799    | 7.4|13.25| 7.319|2009-07-20| 388| 8.478| 0.075| 3.508| 0.068| 0.845| 0.003|5|3039| 56| 0.28| 0.12| 0.38| 0.17|LHS 3799               |335.77904|-17.60694
2MASS J22275958+5741453|0.0000|336.99780|+57.69590|Gl 860 AB   | 4.0| 9.59| 4.777|2009-07-20| 304| 5.075| 0.097| 3.348| 0.088| 0.931| 0.003|3|3464| 17|-0.07| 0.12|-0.11| 0.17|** KR 60AB             |336.99780|+57.69590
2MASS J22275958+5741453|0.0000|336.99780|+57.69590|Gl 860 AB   | 4.0| 9.59| 4.777|2009-07-20| 304| 5.075| 0.097| 3.348| 0.088| 0.931| 0.003|3|3464| 17|-0.07| 0.12|-0.11| 0.17|** KR 60AB             |336.99780|+57.69590
2MASS J22383372-1517573|0.0000|339.64053|-15.29926|Gl 866      | 3.4|12.18| 5.537|2009-07-20| 400| 6.938| 0.071| 2.085| 0.065| 0.816| 0.002|5|2952| 23| 0.04| 0.12| 0.05| 0.17|Gl 866                 |339.64053|-15.29926
2MASS J22464980+4420030|0.0000|341.70722|+44.33399|Gl 873      | 5.0|10.29| 5.299|2009-07-20| 392| 5.573| 0.072| 3.642| 0.068| 0.917| 0.003|3|3400| 18| 0.00| 0.12|-0.01| 0.17|Gl 873                 |341.70722|+44.33399
2MASS J22531672-1415489|0.0000|343.31972|-14.26370|Gl 876      | 4.7|10.16| 5.010|2009-07-20| 577| 6.777| 0.049| 4.363| 0.047| 0.933| 0.002|3|3473| 17| 0.14| 0.12| 0.19| 0.17|Gl 876                 |343.31972|-14.26370
2MASS J23315208+1956142|0.0000|352.96738|+19.93729|Gl 896 A    | 6.2|10.05| 5.326|2009-07-20| 923| 5.861| 0.032| 4.515| 0.026| 0.904| 0.002|3|3334| 23| 0.11| 0.12| 0.15| 0.17|Gl 896 A               |352.96738|+19.93729
2MASS J23315244+1956138|0.0914|352.96738|+19.93729|Gl 896 A    | 6.2|10.05| 5.326|2009-07-20| 923| 5.861| 0.032| 4.515| 0.026| 0.904| 0.002|3|3334| 23| 0.11| 0.12| 0.15| 0.17|Gl 896 A               |352.96738|+19.93729
2MASS J23351050-0223214|0.0000|353.79377|-02.38929|GJ 1286     | 7.2|14.69| 8.183|2009-07-20| 228| 6.408| 0.126| 2.083| 0.129| 0.836| 0.004|5|3012| 45|-0.02| 0.12|-0.04| 0.17|GJ 1286                |353.79377|-02.38929
2MASS J23415498+4410407|0.0000|355.47912|+44.17799|Gl 905      | 3.2|12.27| 5.929|2009-07-20| 824| 7.796| 0.035| 2.732| 0.035| 0.851| 0.002|4|3058| 65| 0.14| 0.12| 0.19| 0.17|Gl 905                 |355.47912|+44.17799
2MASS J23491255+0224037|0.0000|357.30220|+02.40122|Gl 908      | 6.0| 8.98| 5.043|2009-07-20| 253| 2.153| 0.115| 2.275| 0.113| 1.035| 0.004|0|3995| 47|-0.41| 0.12|-0.59| 0.17|Gl 908                 |357.30220|+02.40122
