2MASS J06105481+1019056|All|PM I06109+1019  | 29316| 734|1930|3|06 10 54.8|+10 19 05| 0.0917|VL07| 0.063|-0.932|10.44|HIPPA|11.82|10.54|11.11| 9.93| 8.69| 6.795| 6.306| 6.032|A|M2|E| 0.561| 0.535| 0.797| -8.21| 1.001| 1.121| -0.47|-0.04|3647|PHX| | 0.46| | 0.034| | 0.49|06105481+1019056|0
2MASS J06105481+1019056|All|PM I06109+1019  | 29316| 734|1930|3|06 10 54.8|+10 19 05| 0.0917|VL07| 0.063|-0.932|10.44|HIPPA|11.82|10.54|11.11| 9.93| 8.69| 6.795| 6.306| 6.032|A|M2|E| 0.561| 0.535| 0.797| -8.21| 1.001| 1.121| -0.47|-0.04|3647|PHX| | 0.46| | 0.034| | 0.49|06105481+1019056|0
2MASS J06244132+2325585|All|PM I06246+2325  |      |    |    | |06 24 41.3|+23 25 58| 0.1155|Di14| 0.545|-0.503|13.12|APASS|14.87|13.12|13.86|12.47|10.84| 8.662| 8.156| 7.911|A|M4|S| 0.403| 0.390| 0.674|-15.75| 1.995| 2.851| -0.44|-0.19|3099|PHX|-| 0.19|-| 0.003|-| 0.14|06244132+2325585|0
2MASS J06292339-0248499|All|PM I06293-0248  | 30920|    |    | |06 29 23.4|-02 48 50| 0.2423|VL07| 0.705|-0.612|10.98|HIPPA|12.82|11.20|11.89|10.48| 8.79| 6.376| 5.754| 5.486|A|  | |      |      |      |      |      |      |      |     |3168|V-J|-| 0.19|-| 0.003|-| 0.14|06292339-0248499|0
2MASS J06334337-7537482|All|PM I06337-7537S | 31293|9379| 783|1|06 33 43.3|-75 37 47| 0.1109|VL07|-0.290| 0.277|10.50|HIPPA|11.96|10.60|11.48|10.02| 8.74| 6.725| 6.146| 5.862|A|M3| | 0.597| 0.519| 0.761| -8.88| 0.450| 0.839| -0.05|     |3605|PHX| | 0.44| | 0.030| | 0.47|06334337-7537482|0
2MASS J06334690-7537301|All|PM I06337-7537N | 31292|9379|1149|1|06 33 46.8|-75 37 29| 0.1152|VL07|-0.291| 0.221|11.49|HIPPA|13.01|11.50|12.16|10.82| 9.46| 7.410| 6.850| 6.558|A|M3| | 0.466| 0.475| 0.729|-10.16| 1.523| 1.968| -0.02|     |3302|PHX| | 0.24| | 0.007| | 0.21|06334690-7537301|0
2MASS J06521804-0511241|All|PM I06523-0511  |      |    |    | |06 52 18.0|-05 11 24| 0.1148|VL07|-0.576|-0.011|10.25|APASS|11.56|10.25|10.88| 9.86| 8.59| 6.579| 5.976| 5.723|A|M2|S| 0.606| 0.559| 0.786| -7.52| 1.226| 1.136| -0.38| 0.13|3892|PHX| | 0.56| | 0.063| | 0.60|06521804-0511241|0
2MASS J06540419+6052191|All|PM I06540+6052  | 33142|4110|2079|1|06 54 04.2|+60 52 18| 0.0954|VL07| 0.496|-0.990|10.98|HIPPA|12.58|11.01|11.76|10.30| 9.01| 7.128| 6.604| 6.345|A|M4| | 0.480| 0.474| 0.749|-10.10| 1.084| 1.644| -0.24|     |3444|PHX| | 0.35| | 0.016| | 0.35|06540419+6052191|0
2MASS J06544902+3316058|All|PM I06548+3316  | 33226|2441| 572|1|06 54 49.0|+33 16 05| 0.1790|VL07|-0.724|-0.398|10.01|HIPPA|11.61|10.17|10.80| 9.45| 8.15| 6.104| 5.526| 5.275|A|M3| | 0.509| 0.475| 0.742| -9.12| 1.547| 1.762| -0.16|     |3389|PHX| | 0.31| | 0.012| | 0.30|06544902+3316058|0
2MASS J06574663-4417281|All|PM I06577-4417  | 33499|    |    | |06 57 46.6|-44 17 28| 0.1248|VL07|-1.104|-0.041|10.82|HIPPA|12.45|10.93|11.60|10.26| 8.90| 6.883| 6.365| 6.056|A|M4| | 0.532| 0.470| 0.727|-11.19| 1.102| 1.458| -0.16|     |3401|PHX| | 0.32| | 0.013| | 0.31|06574663-4417281|0
2MASS J06575703+6219197|All|PM I06579+6219  |      |    |    | |06 57 57.1|+62 19 19| 0.0861|Di14| 0.326|-0.510|13.56|APASS|15.33|13.56|14.34|12.89|11.04| 8.585| 7.988| 7.690|A|M5|M| 0.360| 0.381| 0.676|-15.40| 2.495| 3.344|  1.58|     |3100|PHX|-| 0.19|-| 0.003|-| 0.14|06575703+6219197|0
2MASS J07035565+5242075|All|PM I07039+5242  |      |    |    | |07 03 55.7|+52 42 06| 0.1075|Kh10| 0.679|-0.914|13.36|APASS|15.19|13.36|14.08|12.70|10.85| 8.537| 8.094| 7.776|A|M6| | 0.298| 0.321| 0.601|-17.97| 2.205| 4.411|  0.07|     |3040|PHX|-| 0.19|-| 0.003|-| 0.14|07035565+5242075|0
2MASS J07100180+3831457|All|PM I07100+3831  | 34603|2944|1956|1|07 10 01.8|+38 31 46| 0.1589|VL07|-0.437|-0.947|11.42|HIPPA|13.26|11.60|12.27|10.86| 9.12| 6.731| 6.152| 5.846|A|M5| | 0.367| 0.403| 0.690|-14.35| 2.196| 3.204|  1.61|     |3069|PHX|-| 0.19|-| 0.003|-| 0.14|07100180+3831457|0
2MASS J07161977+2708331|All|PM I07163+2708W | 35191|1917|2452|1|07 16 19.8|+27 08 32| 0.0831|VL07|-0.037|-0.196|10.85|HIPPA|12.43|10.97|11.62|10.28| 9.07| 7.013| 6.436| 6.187|A|M3|S| 0.542| 0.504| 0.762| -9.44| 1.260| 1.422| -0.32|-0.04|3476|PHX| | 0.37| | 0.019| | 0.37|07161977+2708331|0
